barcode,id,label,iiif,filename
Z103507401,00171,page171,"https://iiif.onb.ac.at/images/ABO/Z103507401/00171/388,1265,772,620/full/0/native.jpg",Z103507401_00171_page171_01.jpg
Z103507401,00009,page9,"https://iiif.onb.ac.at/images/ABO/Z103507401/00009/204,1053,417,401/full/0/native.jpg",Z103507401_00009_page9_01.jpg
Z103507401,00149,page149,"https://iiif.onb.ac.at/images/ABO/Z103507401/00149/413,1578,832,480/full/0/native.jpg",Z103507401_00149_page149_01.jpg
Z103507401,00092,page92,"https://iiif.onb.ac.at/images/ABO/Z103507401/00092/581,1751,574,181/full/0/native.jpg",Z103507401_00092_page92_01.jpg
Z103507401,00106,page106,"https://iiif.onb.ac.at/images/ABO/Z103507401/00106/560,1673,571,194/full/0/native.jpg",Z103507401_00106_page106_01.jpg
Z103507401,00218,page218,"https://iiif.onb.ac.at/images/ABO/Z103507401/00218/583,1731,568,186/full/0/native.jpg",Z103507401_00218_page218_01.jpg
Z103507401,00086,page86,"https://iiif.onb.ac.at/images/ABO/Z103507401/00086/572,1676,583,192/full/0/native.jpg",Z103507401_00086_page86_01.jpg
Z103507401,00008,page8,"https://iiif.onb.ac.at/images/ABO/Z103507401/00008/231,240,1111,1511/full/0/native.jpg",Z103507401_00008_page8_01.jpg
Z103507401,00167,page167,"https://iiif.onb.ac.at/images/ABO/Z103507401/00167/458,1621,701,253/full/0/native.jpg",Z103507401_00167_page167_01.jpg
Z103507401,00004,page4,"https://iiif.onb.ac.at/images/ABO/Z103507401/00004/230,1132,489,460/full/0/native.jpg",Z103507401_00004_page4_01.jpg
Z103507401,00271,page271,"https://iiif.onb.ac.at/images/ABO/Z103507401/00271/511,1860,580,182/full/0/native.jpg",Z103507401_00271_page271_01.jpg
Z103507504,00001,page1,"https://iiif.onb.ac.at/images/ABO/Z103507504/00001/672,799,575,811/full/0/native.jpg",Z103507504_00001_page1_01.jpg
Z103507504,00064,page64,"https://iiif.onb.ac.at/images/ABO/Z103507504/00064/307,1136,389,390/full/0/native.jpg",Z103507504_00064_page64_01.jpg
Z103507504,00337,page337,"https://iiif.onb.ac.at/images/ABO/Z103507504/00337/153,1150,234,215/full/0/native.jpg",Z103507504_00337_page337_01.jpg
